,label,text
0,1,"if you come from a family that eats , meddles , argues , laughs , kibbitzes and fights together , then go see this delightful comedy ."
1,1,"a gorgeous , witty , seductive movie ."
2,1,eric schweig and graham greene both exude an air of dignity that's perfect for the proud warrior that still lingers in the souls of these characters .
3,1,"while cherish doesn't completely survive its tonal transformation from dark comedy to suspense thriller , it's got just enough charm and appealing character quirks to forgive that still serious problem ."
4,0,ecks this one off your must-see list .
5,1,bouquet gives a performance that is masterly .
6,1,"even as it pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators , scratch is great fun , full of the kind of energy it's documenting ."
7,0,"like a pack of dynamite sticks , built for controversy . the film is explosive , but a few of those sticks are wet ."
8,0,"as it abruptly crosscuts among the five friends , it fails to lend the characters' individual stories enough dramatic resonance to make us care about them ."
9,0,"feels like pieces a bunch of other , better movies slapped together ."
10,0,"a movie more to be prescribed than recommended -- as visually bland as a dentist's waiting room , complete with soothing muzak and a cushion of predictable narrative rhythms ."
11,0,"i think it was plato who said , 'i think , therefore i know better than to rush to the theatre for this one . '"
12,1,goes a long way on hedonistic gusto .
13,1,"does what a fine documentary does best : it extends a warm invitation into an unfamiliar world , then illuminates it fully and allows the larger implications of the journey to sink in unobtrusively ."
14,1,eight crazy nights is a showcase for sandler's many talents .
15,1,"colorful and deceptively buoyant until it suddenly pulls the rug out from under you , burkinabe filmmaker dani kouyate's reworking of a folk story whose roots go back to 7th-century oral traditions is also a pointed political allegory ."
16,1,"if you're willing to have fun with it , you won't feel cheated by the high infidelity of unfaithful ."
17,0,full of the kind of obnoxious chitchat that only self-aware neurotics engage in .
18,1,"a gentle blend of present day testimonials , surviving footage of burstein and his family performing , historical archives , and telling stills ."
19,0,"swimfan , like fatal attraction , eventually goes overboard with a loony melodramatic denouement in which a high school swimming pool substitutes for a bathtub ."
20,1,"one of the smarter offerings the horror genre has produced in recent memory , even if it's far tamer than advertised ."
21,0,late marriage's stiffness is unlikely to demonstrate the emotional clout to sweep u . s . viewers off their feet .
22,0,"though howard demonstrates a great eye as a director , this southern gothic drama is sadly a tough sit , with an undeveloped narrative and enough flashbacks and heavy-handed metaphors to choke a horse -- or at least slow him down to a canter ."
23,0,a by-the-numbers patient/doctor pic that covers all the usual ground
24,0,"helmer hudlin tries to make a hip comedy , but his dependence on slapstick defeats the possibility of creating a more darkly edged tome ."
25,0,"yes , i have given this movie a rating of zero . but fans of the show should not consider this a diss . consider it 'perfection . '"
26,0,"theology aside , why put someone who ultimately doesn't learn at the center of a kids' story ?"
27,0,"for each chuckle there are at least 10 complete misses , many coming from the amazingly lifelike tara reid , whose acting skills are comparable to a cardboard cutout ."
28,1,"ana is a vivid , vibrant individual and the movie's focus upon her makes it successful and accessible ."
29,0,"it's inoffensive , cheerful , built to inspire the young people , set to an unending soundtrack of beach party pop numbers and aside from its remarkable camerawork and awesome scenery , it's about as exciting as a sunburn ."
30,1,"exciting and direct , with ghost imagery that shows just enough to keep us on our toes ."
31,0,"this movie is about lying , cheating , but loving the friends you betray ."
32,1,often moving and explores the discomfort inherent in the contacts between the american 'hosts' and their 'guests . '
33,0,"as it stands , there's some fine sex onscreen , and some tense arguing , but not a whole lot more ."
